foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,matching_score,cleaned_name_pred
Haus Global Makina Ticaret A.S.,Turkey,2020,Turkey,TUR,Haus Global Makina Ticaret As,1987_TUR,100,Shanghai Xinbang International Trading
Olam International,Singapore,2019,Singapore,SGP,Olam International,284_SGP,100,Shanghai Xinbang International Trading
"Yick Fat Trading Co., Ltd.",Hong Kong,2020,Hong Kong,HKG,"Yick Fat Trading Co, Ltd",5846_HKG,0,Shanghai Xinbang International Trading
Takaoka Nagoyabranch Tokyodivision,Japan,2019,Japan,JPN,Takaoka Nagoyabranch To,7658_JPN,81,Shanghai Xinbang International Trading
Oxford Nanopore Technologies,United Kingdom,2020,United Kingdom,GBR,Oxford Nanopore Technologies,4347_GBR,0,Shanghai Xinbang International Trading
Ohtsuka Poly Tech Philippines Inc.,Philippines,2020,Philippines,PHL,Ohtsuka Poly Tech Philippines,2694_PHL,94,Shanghai Xinbang International Trading
Ka Shui Technology Huizhou,China,2020,China,CHN,Ka Shui Technology Huizhou,31823_CHN,100,Shanghai Xinbang International Trading
Lenser Asia Sdn Bhd,Malaysia,2019,Malaysia,MYS,Sensasi Asia Sdn Bhd,1699_MYS,82,Shanghai Xinbang International Trading
Sew Industrial Gears Tianjin,China,2019,China,CHN,Sew Industrial Gears Tianjin,25814_CHN,0,Shanghai Xinbang International Trading
Daarnhouwer Bv,United States,2020,United States,USA,Daarnhouwer Bv,12855_USA,0,Shanghai Xinbang International Trading
The City Bank Ltd. Khatungonj Branch Chittagon,Bangladesh,2019,Bangladesh,BGD,The City Bank Ltd Khatungonj Branch Chittagon,1650_BGD,0,Shanghai Xinbang International Trading
Yuhuan Hejia Pipe Fitting,China,2019,China,CHN,Yuhuan Hejia Pipe Fitting,22311_CHN,100,Shanghai Xinbang International Trading
New Star Enterprise,Taiwan,2019,Taiwan,TWN,New Star Enterprise,4477_TWN,100,Shanghai Xinbang International Trading
Toros Del Sur S A,Paraguay,2020,Paraguay,PRY,Toros Del Sur S A,19_PRY,100,Shanghai Xinbang International Trading
Roca China,China,2020,China,CHN,Roca China,21828_CHN,100,Shanghai Xinbang International Trading
Korla Jinfengtai Produce,China,2019,China,CHN,Korla Jinfengtai Produce,53071_CHN,0,Shanghai Xinbang International Trading
Horizon Trading,China,2019,China,CHN,Horizon Trading,6774_CHN,0,Shanghai Xinbang International Trading
Dmysk Designs,India,2019,India,IND,D Mysk Design,10292_IND,85,Shanghai Xinbang International Trading
Unique Apparels,Fiji,2019,Fiji,FJI,Unique Apparels,85_FJI,0,Shanghai Xinbang International Trading
Foshan Orcco Furniture,China,2019,China,CHN,Foshan Guodu Furniture,3203_CHN,82,Shanghai Xinbang International Trading
Medico Technology,China,2020,China,CHN,Vr Medical Technology,18646_CHN,84,Shanghai Xinbang International Trading
Tuntex Textile Thailand No 55 Wave,Thailand,2020,Thailand,THA,Tuntex Textile Thailand,2149_THA,81,Shanghai Xinbang International Trading
Foshan Baochang New Material,China,2020,China,CHN,Foshan Zhongjin New Material,42802_CHN,82,Shanghai Xinbang International Trading
Nidak,Japan,2020,Japan,JPN,Nidak,9890_JPN,100,Shanghai Xinbang International Trading
Yiwu Handal Imp. Exp. Ltd.,China,2019,China,CHN,Yiwu Wanquan Imp Exp Ltd,12569_CHN,85,Shanghai Xinbang International Trading
Cellmark Sa,Switzerland,2019,Switzerland,CHE,Cellmark Sa,611_CHE,0,Shanghai Xinbang International Trading
Olympia London Hammersmith Rd,United Kingdom,2019,United Kingdom,GBR,Olympia London Hammersmith Rd,1776_GBR,0,Shanghai Xinbang International Trading
Emjay Packaging,Australia,2019,Australia,AUS,Emjay Packaging,2101_AUS,100,Shanghai Xinbang International Trading
Vinda Paper Si Chuan,China,2019,China,CHN,Vinda Paper Si Chuan,8290_CHN,0,Shanghai Xinbang International Trading
Jaydip Agencies,India,2019,India,IND,Jaydip Agencies,6359_IND,0,Shanghai Xinbang International Trading
Jien Kuen Enterprise,Taiwan,2019,Taiwan,TWN,Jieng Beeing Enterprise,1021_TWN,84,Shanghai Xinbang International Trading
Prennial Cable Hk,Hong Kong,2020,Hong Kong,HKG,Perennial Cable Hk Ltd,11472_HKG,87,Shanghai Xinbang International Trading
Khalid Essa Trading Est,United Arab Emirates,2019,United Arab Emirates,ARE,Khalid Essa Trading Est,1377_ARE,100,Shanghai Xinbang International Trading
Melchior Solution Unipessoal Lda,OTH,2019,OTH,OTH,Melchior Solution Unipessoal Lda,25_OTH,100,Shanghai Xinbang International Trading
Jiaxing Skyland Exp. International Forwardin,China,2020,China,CHN,Jiaxing Skyland Exp International Forwardin,46681_CHN,0,Shanghai Xinbang International Trading
Adrian Ee Soon Kian,Malaysia,2020,Malaysia,MYS,Adrian Ee Soon Kian,6402_MYS,0,Shanghai Xinbang International Trading
Nsk Italia Sp A,Italy,2020,Italy,ITA,Skg Italia Sp A,59_ITA,87,Shanghai Xinbang International Trading
Al Kifahpaper Products Co.,Saudi Arabia,2020,Saudi Arabia,SAU,Al Kifahpaper Products Co,1337_SAU,0,Shanghai Xinbang International Trading
Cargill Bv,Netherlands,2020,Netherlands,NLD,Cargill B V,269_NLD,86,Shanghai Xinbang International Trading
Pitney Bowes Software India,India,2020,India,IND,Pitney Bowes Software India,5487_IND,0,Shanghai Xinbang International Trading
Yen Spring Bio Tech,Taiwan,2020,Taiwan,TWN,Yen Spring Biotech,1124_TWN,92,Shanghai Xinbang International Trading
Juan De Jesus Hermanos S A,Dominican Republic,2019,Dominican Republic,DOM,Juan De Jesus Hermanos S A,65_DOM,0,Shanghai Xinbang International Trading
Redman Controls Electronics,United Kingdom,2019,United Kingdom,GBR,Redman Controls Electronics,2876_GBR,100,Shanghai Xinbang International Trading
Protek Mfg. Corp,Taiwan,2020,Taiwan,TWN,Protek Mfg Corp,4976_TWN,100,Shanghai Xinbang International Trading
Almokhtasr House For Publishing Dist,Saudi Arabia,2020,Saudi Arabia,SAU,Almokhtasr House For Publishing Dist,1812_SAU,0,Shanghai Xinbang International Trading
Tosrifa Industries,Bangladesh,2020,Bangladesh,BGD,Tosrifa Industries Ltd,283_BGD,90,Shanghai Xinbang International Trading
Vietnam Colour Trading And Mfg.,Vietnam,2019,Vietnam,VNM,Vietnam Colour Trading And Mfg,1535_VNM,100,Shanghai Xinbang International Trading
Aeroservices Middle East Dwc Llc,United Arab Emirates,2020,United Arab Emirates,ARE,Aeroservices Middle East Dwc Llc,3119_ARE,0,Shanghai Xinbang International Trading
World Trade Center,United States,2020,United States,USA,World Trade Center,4728_USA,0,Shanghai Xinbang International Trading
Ng,Hong Kong,2020,Hong Kong,HKG,Ng,12913_HKG,0,Shanghai Xinbang International Trading
Bunge Asia Sia Pte,Singapore,2020,Singapore,SGP,Bunge Asia Sia Pte,9122_SGP,0,Shanghai Xinbang International Trading
Medtrue Enterprise,China,2019,China,CHN,Weldtrade Enterprises,25268_CHN,82,Shanghai Xinbang International Trading
Fruitive International,Taiwan,2020,Taiwan,TWN,Sirtec International,56_TWN,81,Shanghai Xinbang International Trading
Qingdao Iro Taihe International Trade,China,2019,China,CHN,Qingdao Yueyou International Trade,304_CHN,82,Shanghai Xinbang International Trading
Ortofio Industria Comercio Servico Ltda,Brazil,2019,Brazil,BRA,Ortofio Industria Comercio Servico Ltda,532_BRA,0,Shanghai Xinbang International Trading
Shanghai Holley Trade,China,2020,China,CHN,Shanghai Kenyu Trade,6231_CHN,83,Shanghai Xinbang International Trading
Irzan Bin Jamalairbus Avionics Oem F6198,Singapore,2019,Singapore,SGP,Irzan Bin Jamalairbus Avionics Oem F6198,5242_SGP,100,Shanghai Xinbang International Trading
Stage N9 Ne Distribution,South Africa,2019,South Africa,ZAF,Stage N9 Ne Distribution,201_ZAF,0,Shanghai Xinbang International Trading
Man Energy Solutionscph,Denmark,2019,Denmark,DNK,Man Energy Solutions,576_DNK,93,Shanghai Xinbang International Trading
Country Casa,France,2020,France,FRA,Country Casa,990_FRA,0,Shanghai Xinbang International Trading
Cong Ty Tnhh Alex Component,Vietnam,2019,Vietnam,VNM,Cong Ty Tnhh Alex Component,6808_VNM,100,Shanghai Xinbang International Trading
Mattel Bv Tooling Division,Netherlands,2020,Netherlands,NLD,Mattel Bv Tooling Division,3154_NLD,0,Shanghai Xinbang International Trading
Okebany (Pty) Ltd. T/A Also,Australia,2020,Australia,AUS,Okebany (Pty) Ltd T/A Also,8540_AUS,0,Shanghai Xinbang International Trading
Precision,United States,2020,United States,USA,Precision,3046_USA,0,Shanghai Xinbang International Trading
Lufthansa Technik Turbine Shannon,Ireland,2019,Ireland,IRL,Lufthansa Technik Turbine Shannon,196_IRL,0,Shanghai Xinbang International Trading
Mavin Austfeed Jsc,Vietnam,2019,Vietnam,VNM,Mavin Austfeed Jsc,373_VNM,0,Shanghai Xinbang International Trading
Tessival Srl,Italy,2019,Italy,ITA,Tessibel Srl,1526_ITA,83,Shanghai Xinbang International Trading
Sunnylife International Sdn Bhd,Malaysia,2020,Malaysia,MYS,Sunnylife International Sdn Bhd,3103_MYS,0,Shanghai Xinbang International Trading
Shoufuku Kogyo,Japan,2019,Japan,JPN,Shoufuku Kogyo,8785_JPN,0,Shanghai Xinbang International Trading
Donna Karangiii,United States,2020,United States,USA,Donna Karan,696_USA,85,Shanghai Xinbang International Trading
Makro Trade Baltic Ou,Estonia,2020,Estonia,EST,Makro Trade Baltic Ou,60_EST,100,Shanghai Xinbang International Trading
Extreme Structure Srl,Romania,2020,Romania,ROU,Extreme Structure Srl,375_ROU,0,Shanghai Xinbang International Trading
Kyosan Electric Mfg,Japan,2020,Japan,JPN,Kyosan Electric Mfg,8195_JPN,0,Shanghai Xinbang International Trading
Centrisys Corporation,United States,2019,United States,USA,Crislu Corporation,1638_USA,82,Sampo Corporation
Gmj Corp Dba Ikki Wholesale San Antonio,Northern Mariana Islands,2019,Northern Mariana Islands,MNP,Gmj Corp Dba Ikki Wholesale,3_MNP,82,Shanghai Xinbang International Trading
Rs Agro S R O,Czech Republic,2020,Czech Republic,CZE,Rs Agro S R O,481_CZE,0,Shanghai Xinbang International Trading
Greatway Trading,Philippines,2019,Philippines,PHL,Greatway Trading,2606_PHL,0,Shanghai Xinbang International Trading
Shenzhen Suk International Fre,China,2020,China,CHN,Shenzhen Xi Fu International Trade,11788_CHN,84,Shanghai Xinbang International Trading
Bullmer Mechanical Electrical T Echnology,China,2019,China,CHN,Bullmer Mechanical Electrical T Echnology,10703_CHN,100,Shanghai Xinbang International Trading
Sanino D O O,Slovenia,2020,Slovenia,SVN,Sanino D O O,161_SVN,0,Shanghai Xinbang International Trading
"Xinyilai Co., Ltd.",Vietnam,2020,Vietnam,VNM,"Xinyilai Co, Ltd",7135_VNM,0,Shanghai Xinbang International Trading
Irene Kwonpan Pacififc Hcm Office,Vietnam,2020,Vietnam,VNM,Irene Kwonpan Pacififc Hcm Office,2134_VNM,0,Shanghai Xinbang International Trading
Parts Inc. Africa,South Africa,2019,South Africa,ZAF,Parts Inc Africa,424_ZAF,0,Shanghai Xinbang International Trading
Jlong,Hong Kong,2019,Hong Kong,HKG,Jlong,525_HKG,100,Shanghai Xinbang International Trading
Everstyle Trading Llc Warehouse,United Arab Emirates,2019,United Arab Emirates,ARE,Everstyle Trading Llc,348_ARE,81,Shanghai Xinbang International Trading
Taizhou Hongfa Car Parts,China,2020,China,CHN,Taizhou Hongfa Car Parts,34290_CHN,100,Shanghai Xinbang International Trading
"Ci Bao Co., Ltd.",Vietnam,2020,Vietnam,VNM,"Ci Bao Co, Ltd",8661_VNM,0,Shanghai Xinbang International Trading
Shenmao Technology,Taiwan,2019,Taiwan,TWN,Shenmao Technology,1088_TWN,100,Shanghai Xinbang International Trading
Gallant Imp. & Exp. Qq,Sri Lanka,2019,Sri Lanka,LKA,Gallant Imp & Exp Qq,657_LKA,0,Shanghai Xinbang International Trading
Dfe Pharma Gmb H Kg,Germany,2020,Germany,DEU,Jrs Pharma Gmb H Kg,4596_DEU,84,Shanghai Xinbang International Trading
Halliburton Italiana Sp A,Italy,2019,Italy,ITA,Halliburton Italiana Srl,1414_ITA,90,Shanghai Xinbang International Trading
Qingdao Double Dragaon Industry Co.,China,2019,China,CHN,"Qingdao Double Dragon Industry Co, Ltd",23690_CHN,92,Shanghai Xinbang International Trading
Cheongfuli Xiamen,China,2019,China,CHN,Cheongfuli Xiamen,4224_CHN,100,Shanghai Xinbang International Trading
Chokas Jewelry,Thailand,2019,Thailand,THA,Chokas Jewelry,1850_THA,0,Shanghai Xinbang International Trading
Tippcom,Germany,2019,Germany,DEU,Tippcom,556_DEU,0,Shanghai Xinbang International Trading
Cmf Myanmar,Myanmar,2020,Myanmar,MMR,Wfp Myanmar,365_MMR,82,Shanghai Xinbang International Trading
Thuan Thanh Trainvest Jsc,Vietnam,2019,Vietnam,VNM,Thuan Thanh Trainvest Jsc,5623_VNM,0,Shanghai Xinbang International Trading
Socultur Sas 17 Rue Archimede,France,2020,France,FRA,Socultur Sas 17 Rue Archimede,2039_FRA,0,Shanghai Xinbang International Trading
Ga Biz International Pte,Singapore,2020,Singapore,SGP,Toa E I International Pte,475_SGP,82,Shanghai Xinbang International Trading
Sangamo Therapeutics,United States,2020,United States,USA,Juno Therapeutics,3234_USA,81,Shanghai Xinbang International Trading
Eparhija Rasko Prizrenska,Montenegro,2020,Montenegro,MNE,Eparhija Rasko Prizrenska,36_MNE,0,Shanghai Xinbang International Trading
Federal Signal Corporation,United States,2019,United States,USA,Tideland Signal Corporation,21118_USA,83,Shanghai Xinbang International Trading
Singapore Upi Pte,Singapore,2019,Singapore,SGP,Singapore Upi Pte,2996_SGP,0,Shanghai Xinbang International Trading
Bostani Chocolate Belgium Srl,Belgium,2020,Belgium,BEL,Bostani Chocolate Belgium Srl,815_BEL,0,Shanghai Xinbang International Trading
Hangzhou Yongzhao Home Products,China,2020,China,CHN,Hangzhou Yongzhao Home Products,51620_CHN,0,Shanghai Xinbang International Trading
Kuwata Trading Co.,Japan,2020,Japan,JPN,Kuwata Trading Co,962_JPN,0,Shanghai Xinbang International Trading
Aiveurope,United Kingdom,2020,United Kingdom,GBR,Aiv Europe,4409_GBR,84,Shanghai Xinbang International Trading
Spiggle Theis Medizintechnik Gmb H,Germany,2019,Germany,DEU,Spiggle Theis Medizintechnik Gmb H,5394_DEU,100,Shanghai Xinbang International Trading
Suzhou Fulltone Textile Importsexports,China,2019,China,CHN,Suzhou Fulltone Textile Imp & Exp,3211_CHN,82,Shanghai Xinbang International Trading
Reliance Retail Ltd.,India,2019,India,IND,Reliance Retail Ltd,113_IND,100,Shanghai Xinbang International Trading
Northern Global Agency Sdn Bhd,Malaysia,2020,Malaysia,MYS,Northern Global Agency Sdn Bhd,6399_MYS,0,Shanghai Xinbang International Trading
Dynafluid Distributions Sdn Bhd,Malaysia,2020,Malaysia,MYS,Dynafluid Distributions Sdn Bhd,7532_MYS,100,Shanghai Xinbang International Trading
Crompton Instruments,Australia,2019,Australia,AUS,Crompton Instruments,6182_AUS,100,Shanghai Xinbang International Trading
Rosewall Interior Solution,Sri Lanka,2019,Sri Lanka,LKA,Rosewall Interior Solution,41_LKA,100,Shanghai Xinbang International Trading
Mic Cooling Solution,Hong Kong,2020,Hong Kong,HKG,Mic Cooling Solution,10034_HKG,0,Shanghai Xinbang International Trading
Polypex Thailand Public Co.,Thailand,2019,Thailand,THA,Polyplex Thailand Public,512_THA,92,Shanghai Xinbang International Trading
Hangzhou Genesis Biodetection Biocon,China,2020,China,CHN,Hangzhou Genesis Biodetection Biocon,36694_CHN,0,Shanghai Xinbang International Trading
Hwei Enterprise,Taiwan,2020,Taiwan,TWN,Hwei Enterprise,1836_TWN,100,Shanghai Xinbang International Trading
Santoni Shanghai Knitting Machiner,China,2019,China,CHN,Santoni Shanghai Knitting Machiner,18264_CHN,100,Shanghai Xinbang International Trading
Malika Lor 11405 West Florist Avenue,United States,2020,United States,USA,Malika Lor 11405 West Florist Avenue,11040_USA,0,Shanghai Xinbang International Trading
Henkel Chemical Technologies Shanghai L,China,2019,China,CHN,Henkel Chemical Technologies Shanghai L,14560_CHN,0,Shanghai Xinbang International Trading
Pharmacy Retailing New Zealand Ltd.,New Zealand,2020,New Zealand,NZL,Pharmacy Retailing New Zealand Ltd,960_NZL,100,Shanghai Xinbang International Trading
Ozz Cash Carry,South Africa,2020,South Africa,ZAF,Ozz Cash Carry,122_ZAF,100,Shanghai Xinbang International Trading
To The Order United Commercial Bank Ltd.,Bangladesh,2019,Bangladesh,BGD,To The Order United Commercial Bank Ltd,280_BGD,0,Shanghai Xinbang International Trading
Everest Invesment Holding Ltd. Everest Textile C,Taiwan,2019,Taiwan,TWN,Everest Invesment Holding Ltd Everest Textile C,4395_TWN,0,Shanghai Xinbang International Trading
Fiber Pattana,Thailand,2019,Thailand,THA,Fiber Pattana,397_THA,100,Shanghai Xinbang International Trading
Jiangyin Huafang New Energy Hightech,China,2020,China,CHN,Jiangyin Huafang New Energy Hightech,29227_CHN,0,Shanghai Xinbang International Trading
General M Singapore Pte,Singapore,2019,Singapore,SGP,General M Singapore Pte,5536_SGP,100,Shanghai Xinbang International Trading
Golden Time Chemical Jiangsu,China,2020,China,CHN,Golden Time Chemical Jiangsu,25495_CHN,100,Shanghai Xinbang International Trading
Winon Industrial,Hong Kong,2020,Hong Kong,HKG,Winlok Industrial,1497_HKG,91,Shanghai Xinbang International Trading
Dimexon Hongkong Ltd.,Hong Kong,2020,Hong Kong,HKG,Omron Hongkong Ltd,4_HKG,84,Shanghai Xinbang International Trading
Enercon Industries Corporation,United States,2019,United States,USA,Intermetro Industries Corporation,13972_USA,86,Shanghai Xinbang International Trading
Green Way Building Materials Trading Llc,United Arab Emirates,2019,United Arab Emirates,ARE,Versatile Building Materials Trading Llc,634_ARE,82,Shanghai Xinbang International Trading
Bright Textile,China,2019,China,CHN,Bright Textile,49648_CHN,100,Shanghai Xinbang International Trading
Dish Kingdom Enterprise,Taiwan,2020,Taiwan,TWN,Dish Kingdom Enterprise,1050_TWN,100,Shanghai Xinbang International Trading
"Magna International Pte., Ltd.",Singapore,2019,Singapore,SGP,"Clp International Pte, Ltd",2800_SGP,85,Shanghai Xinbang International Trading
Okabe China,China,2019,China,CHN,Okabe China,53066_CHN,0,Shanghai Xinbang International Trading
Lai Zhou Ming Tai International Trading,China,2019,China,CHN,Lai Zhou Ming Tai International Trading,45998_CHN,0,Shanghai Xinbang International Trading
Lord Steel International,China,2019,China,CHN,Lord Steel International,55143_CHN,0,Shanghai Xinbang International Trading
Quanzhou Sunshine Nonwoven Fabric,China,2020,China,CHN,Guangzhou Xinhuilian Nonwoven Fabric,15595_CHN,81,Shanghai Xinbang International Trading
Celestica Suzho Technology,China,2019,China,CHN,Celestica Suzhou Technology Co,2734_CHN,93,Shenzhen Embest Technology
Nadina Global Services,Nigeria,2020,Nigeria,NGA,Obiawo Global Services,102_NGA,82,Shanghai Xinbang International Trading
Abb Pa Parts Logistics,United States,2019,United States,USA,Abb Pa Parts Logistics,20230_USA,0,Shanghai Xinbang International Trading
Smart Edge Investments Ltd.,American Samoa,2019,American Samoa,ASM,Smart Edge Investment Ltd,28_ASM,98,Shanghai Xinbang International Trading
Pirelli Tire Llc (Rome Ga),United States,2019,United States,USA,Pirelli Tire Llc (Rome Ga),24980_USA,0,Shanghai Xinbang International Trading
Flovel Energy,India,2020,India,IND,Flovel Energy,10220_IND,0,Shanghai Xinbang International Trading
Sg Sagawa Vietnam O B Framas Hong Kong,Vietnam,2020,Vietnam,VNM,Sg Sagawa Vietnam O B Framas Hong Kong,6425_VNM,100,Shanghai Xinbang International Trading
Winning Glory Global Ltd.,Hong Kong,2019,Hong Kong,HKG,Winning Glory Global Ltd,4519_HKG,100,Shanghai Xinbang International Trading
